_id,bot,readyAt,timeoutStartedAt,timeoutWaitCount,exitStepsDone,exitAt,exitStatus,exitReason,retiredAt,retiredReason,createdAt,data.name,data.avatar,data.nameColor,data.bonus,data.clicked,data.timeClick,data.imageOrder,data.scoreIncrement,data.clickLength,data.rawScore,data.exitTimeoutId,data.exited
oc69G52JjStmimSB2,,2021-07-23T16:35:15Z,2021-07-23T16:35:15Z,1,"Sorry,ExitSurvey",2021-07-23T16:40:28Z,failed,Failed on onStageEnd callback,,,2021-07-23T16:32:42Z,Laju,/avatars/jdenticon/Katherine,#3D45B7,1.1,white_5,693,"white_2,white_8,white_11,white_5,white_9,white_10",0.11333333333333334,2,5.666666666666667,,
7QYGXy24M82Rb32E8,,2021-07-23T16:37:29Z,2021-07-23T16:37:29Z,1,ExitSurvey,2021-07-23T16:44:21Z,finished,,,,2021-07-23T16:32:44Z,Repi,/avatars/jdenticon/Samuel,#8138A8,6.98,white_9,1307,"white_5,white_2,white_9,white_12,white_10,white_4",0.22,3,11,,
ds2uMKRNgofK6XALZ,,,,,"Sorry,ExitSurvey",2021-07-23T17:09:28Z,cancelled,adminCancelled,2021-07-23T16:46:17Z,custom,2021-07-23T16:32:46Z,,,,,,,,,,,,
QB9re5wgfmiGLty3F,,2021-07-23T16:38:45Z,2021-07-23T16:38:45Z,1,"Sorry,ExitSurvey",2021-07-23T16:42:24Z,failed,Failed on onStageEnd callback,,,2021-07-23T16:32:47Z,Repi,/avatars/jdenticon/Samuel,#8138A8,0.37333333333333335,purple_8,8191,"purple_12,purple_1,purple_9,purple_10,purple_7,purple_8",0.14,2,7,,
nvWkQEBFsQz66SWxt,,2021-07-23T16:38:34Z,2021-07-23T16:38:34Z,1,"Sorry,ExitSurvey",2021-07-23T16:42:24Z,failed,Failed on onStageEnd callback,,,2021-07-23T16:32:50Z,Laju,/avatars/jdenticon/Katherine,#3D45B7,0.37333333333333335,purple_12,2369,"purple_8,purple_9,purple_10,purple_1,purple_12,purple_7",0.14,2,7,,
B9SfCkFfy46qAQjoH,,2021-07-23T16:36:36Z,2021-07-23T16:36:36Z,1,ExitSurvey,2021-07-23T16:44:21Z,finished,,,,2021-07-23T16:32:51Z,Minu,/avatars/jdenticon/Alaina,#7ACC66,6.98,white_4,1479,"white_4,white_2,white_10,white_12,white_9,white_5",0.22,3,11,,
Qn9ixdJ4uqRMW83vk,,2021-07-23T16:35:46Z,2021-07-23T16:35:46Z,1,"Sorry,ExitSurvey",2021-07-23T16:40:28Z,failed,Failed on onStageEnd callback,,,2021-07-23T16:32:56Z,Minu,/avatars/jdenticon/Alaina,#7ACC66,1.1,white_9,1759,"white_8,white_10,white_5,white_9,white_11,white_2",0.11333333333333334,2,5.666666666666667,,
hfo5EPmJ3Y9AFzQZj,,2021-07-23T16:36:02Z,2021-07-23T16:36:02Z,1,ExitSurvey,2021-07-23T16:44:21Z,finished,,,,2021-07-23T16:32:58Z,Laju,/avatars/jdenticon/Katherine,#3D45B7,6.98,white_5,1374,"white_4,white_2,white_10,white_12,white_5,white_9",0.22,3,11,,
N7EYBSf3Ds9jMaWgn,,2021-07-23T16:35:59Z,2021-07-23T16:35:59Z,1,"Sorry,ExitSurvey",2021-07-23T16:40:28Z,failed,Failed on onStageEnd callback,,,2021-07-23T16:32:59Z,Repi,/avatars/jdenticon/Samuel,#8138A8,1.1,false,false,"white_9,white_10,white_11,white_8,white_2,white_5",0.11333333333333334,2,5.666666666666667,,
TstCGL8qdFTEN2K4f,,2021-07-23T16:37:53Z,2021-07-23T16:37:53Z,1,,2021-07-23T16:42:24Z,failed,Failed on onStageEnd callback,,,2021-07-23T16:33:02Z,Minu,/avatars/jdenticon/Alaina,#7ACC66,0.37333333333333335,false,false,"purple_12,purple_9,purple_1,purple_8,purple_7,purple_10",0.14,2,7,,
