gameId,trialNum,condition,chatEnabled,playerId,name,text,participantAction,roundID,index,createdAt,repNum,blockNum,numPlayers,type,submitted,playerResponse,playerUtility
SihDfEzMcyhNqCP46,0,coopCartel,TRUE,nFqTBtKEKpFBGNMXC,Laju,are you guys even real,NA,v9hjDPRPGpvb2XjDu,0,2021-06-30T17:10:07Z,0,0,3,message,FALSE,purple_12,24
SihDfEzMcyhNqCP46,0,coopCartel,TRUE,nFqTBtKEKpFBGNMXC,Laju,hello,NA,v9hjDPRPGpvb2XjDu,0,2021-06-30T17:10:07Z,0,0,3,message,FALSE,purple_12,24
SihDfEzMcyhNqCP46,0,coopCartel,TRUE,BiKzWfhjXPp2RcaMv,Repi,Yeah are you,NA,v9hjDPRPGpvb2XjDu,0,2021-06-30T17:10:07Z,0,0,3,message,FALSE,purple_12,24
SihDfEzMcyhNqCP46,0,coopCartel,TRUE,nFqTBtKEKpFBGNMXC,Laju,yeah lmao,NA,v9hjDPRPGpvb2XjDu,0,2021-06-30T17:10:07Z,0,0,3,message,FALSE,purple_12,24
SihDfEzMcyhNqCP46,0,coopCartel,TRUE,Cm5auRoPbDGaDN5QP,Minu,the two overlapping flowers have 50%,NA,v9hjDPRPGpvb2XjDu,0,2021-06-30T17:10:07Z,0,0,3,message,FALSE,purple_12,24
SihDfEzMcyhNqCP46,0,coopCartel,TRUE,nFqTBtKEKpFBGNMXC,Laju,the single flower with 5 big petals has more than 50%,NA,v9hjDPRPGpvb2XjDu,0,2021-06-30T17:10:07Z,0,0,3,message,FALSE,purple_12,24
SihDfEzMcyhNqCP46,0,coopCartel,TRUE,Cm5auRoPbDGaDN5QP,Minu,can't see for the two small ones  or the single large one,NA,v9hjDPRPGpvb2XjDu,0,2021-06-30T17:10:07Z,0,0,3,message,FALSE,purple_12,24
SihDfEzMcyhNqCP46,0,coopCartel,TRUE,nFqTBtKEKpFBGNMXC,Laju,i can't see the two small either,NA,v9hjDPRPGpvb2XjDu,0,2021-06-30T17:10:07Z,0,0,3,message,FALSE,purple_12,24
SihDfEzMcyhNqCP46,0,coopCartel,TRUE,BiKzWfhjXPp2RcaMv,Repi,Two small spread out are around 20%,NA,v9hjDPRPGpvb2XjDu,0,2021-06-30T17:10:07Z,0,0,3,message,FALSE,purple_12,24
SihDfEzMcyhNqCP46,0,coopCartel,TRUE,nFqTBtKEKpFBGNMXC,Laju,ok so the biggest one with 5 petals is worth the most,NA,v9hjDPRPGpvb2XjDu,0,2021-06-30T17:10:07Z,0,0,3,message,FALSE,purple_12,24
