gameId,rowid,trialNum,name,pResp,text,span,referent,flowers,color
Rq47E8uzWFKm4CBPJ,633,0,Minu,10,Ill take the bottom left flower,"""bottom left flower""",,"1:11, 4:9, 10:8, 12:6, 2:4, 3:2",yellow
Rq47E8uzWFKm4CBPJ,634,0,Laju,4,The yellow bundle of flowers with a darker middle looks best for me,"""yellow bundle of flowers with a darker middle""",4,"1:11, 4:9, 10:8, 12:6, 2:4, 3:2",yellow
Rq47E8uzWFKm4CBPJ,635,0,Laju,4,the images ae scattered for all of us,,,"1:11, 4:9, 10:8, 12:6, 2:4, 3:2",yellow
Rq47E8uzWFKm4CBPJ,636,0,Laju,4,are*,,,"1:11, 4:9, 10:8, 12:6, 2:4, 3:2",yellow
Rq47E8uzWFKm4CBPJ,638,0,Repi,1,I'm taking the yellow one with orangey tips,"""yellow one with orangey tips""",1,"1:11, 4:9, 10:8, 12:6, 2:4, 3:2",yellow
Rq47E8uzWFKm4CBPJ,641,1,Laju,9,the daffodil looks best for me,"""daffodil""",9,"9:12, 1:7, 5:5, 6:4, 3:3, 7:1",yellow
Rq47E8uzWFKm4CBPJ,643,1,Minu,6,Ill take the yellow flower with the orange seeds in the middle,"""yellow flower with the orange seeds in the middle""",6,"9:12, 1:7, 5:5, 6:4, 3:3, 7:1",yellow
Rq47E8uzWFKm4CBPJ,644,1,Repi,1,I'm taking the same as last time (the orange tipped one),"""the orange tipped one""",1,"9:12, 1:7, 5:5, 6:4, 3:3, 7:1",yellow
Rq47E8uzWFKm4CBPJ,647,2,Minu,2,Ill take the orange flower with the red center,"""the orange flower with the red center""",2,"2:12, 10:8, 1:6, 12:4, 7:3, 6:1",yellow
Rq47E8uzWFKm4CBPJ,648,2,Minu,2,*yellow,,,"2:12, 10:8, 1:6, 12:4, 7:3, 6:1",yellow
Rq47E8uzWFKm4CBPJ,649,2,Laju,10,ill take the dandelion,"""dandelion""",10,"2:12, 10:8, 1:6, 12:4, 7:3, 6:1",yellow
Rq47E8uzWFKm4CBPJ,652,2,Repi,1,Can anyone see the value bar for the one that looks like a buttercup?,"""one that looks like a buttercup""",1,"2:12, 10:8, 1:6, 12:4, 7:3, 6:1",yellow
Rq47E8uzWFKm4CBPJ,653,2,Laju,10,super low,,,"2:12, 10:8, 1:6, 12:4, 7:3, 6:1",yellow
Rq47E8uzWFKm4CBPJ,655,3,Repi,8,I'm taking the one that looks like 4 round flowers,"""one that looks like 4 round flowers""",8,"8:11, 7:9, 1:6, 4:4, 12:3, 11:1",yellow
Rq47E8uzWFKm4CBPJ,656,3,Laju,1,ill take the yellow with orange tips,"""yellow with orange tips""",1,"8:11, 7:9, 1:6, 4:4, 12:3, 11:1",yellow
Rq47E8uzWFKm4CBPJ,660,4,Minu,5,Ill take the one with 3 flowers,"""one with 3 flowers""",5,"5:12, 10:8, 2:6, 6:4, 4:3, 1:2",yellow
Rq47E8uzWFKm4CBPJ,662,4,Repi,10,I'm going for the dandelion,"""dandelion""",10,"5:12, 10:8, 2:6, 6:4, 4:3, 1:2",yellow
Rq47E8uzWFKm4CBPJ,663,4,Laju,2,Ill take the red centered one,"""red centered one""",2,"5:12, 10:8, 2:6, 6:4, 4:3, 1:2",yellow
Rq47E8uzWFKm4CBPJ,666,5,Repi,8,I'm going for the 4 round flowers,"""4 round flowers""",8,"7:12, 8:9, 4:7, 9:6, 1:4, 10:1",yellow
Rq47E8uzWFKm4CBPJ,668,5,Laju,7,Ill take the one with petals and a visible middle....idk really know how to describe it,"""one with petals and a visible middle""",7,"7:12, 8:9, 4:7, 9:6, 1:4, 10:1",yellow
Rq47E8uzWFKm4CBPJ,669,5,Laju,7,it has a visable stem,"""it has a visable stem""",7,"7:12, 8:9, 4:7, 9:6, 1:4, 10:1",yellow
Rq47E8uzWFKm4CBPJ,672,6,Laju,10,ill take the dandelion,"""dandelion""",10,"10:10, 8:9, 2:8, 11:6, 7:4, 6:1",yellow
Rq47E8uzWFKm4CBPJ,674,6,Minu,8,Ill take the one with 4 flowers,"""one with 4 flowers""",8,"10:10, 8:9, 2:8, 11:6, 7:4, 6:1",yellow
Rq47E8uzWFKm4CBPJ,677,7,Laju,10,ill take the dandelion,"""dandelion""",10,"4:11, 10:8, 1:7, 9:3, 6:2, 12:1",yellow
Rq47E8uzWFKm4CBPJ,679,7,Repi,4,I'mm taking the one that's a bunch of flowers,"""one that's a bunch of flowers""",4,"4:11, 10:8, 1:7, 9:3, 6:2, 12:1",yellow
Rq47E8uzWFKm4CBPJ,682,8,Laju,5,ill take the three flowers,"""the three flowers""",5,"5:11, 10:9, 6:8, 3:5, 8:2, 4:1",yellow
Rq47E8uzWFKm4CBPJ,684,8,Repi,10,I'm taking the one dandelion,"""one dandelion""",10,"5:11, 10:9, 6:8, 3:5, 8:2, 4:1",yellow
Rq47E8uzWFKm4CBPJ,687,9,Laju,1,ill take the one with orange tips,"""one with orange tips""",1,"12:10, 1:8, 8:6, 7:4, 5:3, 11:2",yellow
Rq47E8uzWFKm4CBPJ,689,9,Minu,12,Im taking the one with seeds on the centee,"""one with seeds on the centee""",12,"12:10, 1:8, 8:6, 7:4, 5:3, 11:2",yellow
Rq47E8uzWFKm4CBPJ,692,10,Laju,3,ill take the one with the brown center,"""one with the brown center""",3,"3:11, 2:8, 12:5, 5:4, 8:3, 11:2",yellow
