playerId,correctness,human,workedWell,fair,chatUseful,feedback,time
aZ4LjhRDtYDMe6Mp7,yes,yes,stronglyDisagree,NA,NA,NA,NA
hYn4YgbBpPcGAQYgK,yes,yes,stronglyDisagree,yes,no,none,no
d5YFZ82ezNvBdjX8D,yes,no,stronglyDisagree,Pay could always be more.,It was pointless as my partners chose options before I could ever type anything.,No,yes
ga7mdcuNmWBHAoR9k,NA,NA,NA,Yes,Yes,No,Yes
TFC5ZPh7SSsrqs4vn,yes,yes,stronglyAgree,yes,I didn t use it,"no, it was so much fun",yes
Ngb2MQcFPDdE425hz,yes,no,neutral,sure,yes,no,yes
MWdc5C6Rqz7rCartu,yes,yes,neutral,Yes,Yes,No,Yes
jgkvxoeQGQNM3PduY,yes,yes,agree,YES,YES,NO,YES PLENTY OF TIME
XhNyocPsCc5jyxym2,yes,no,stronglyDisagree,Yes very fair,Yes but no one used it,No one else tried to discuss each round,Yes plenty
odNTGwKGZuTEr3ruF,yes,yes,agree,yes,yes,no,yes
w2TfbfFTrf9LJh6hd,yes,yes,agree,Yes,"Yes, but it seemed like there was not time",No,Yes
YyHKq9EYbJumA3ANL,yes,no,disagree,yes,yes,no,yes
qNNHZG4JCrXM4zqZq,yes,no,disagree,yes,yes but no one else seemed to use it so I stopped,NA,yes
qGkNWcXfDCrofhKcj,yes,no,disagree,"for clicking a button, of course yes.",I didn't use it as no-one else did.,the pages at the start kept glitching and taking me to the top of the screen when I was trying to read the instructions.,yes
n9GBgFk6Hxa9zipd7,yes,no,disagree,yes,yes but I don't feel like it was used,about halfway through there was an error loading a new round of the game but reloading the page corrected that,yes
Ci4KgAcHF2SSLgkKo,yes,no,agree,yes,yes,no,yes
eP5tq28Zot8RGtYhS,yes,no,agree,Yes,Yes,No,Yes
7hqPQd4z7K3puDdS4,yes,yes,agree,Yes,I never used it,No,Yes
J4r6Sgiyiv6GaE4w8,yes,no,disagree,no,yes,no,yes
gEWrSTxqnhsBmLCRC,yes,yes,stronglyDisagree,yes,yes,NA,too much
uYJYEi4uCvmvaswYa,yes,no,neutral,Yes,Very easy,"No, all good! It was fun.","Yes, plenty"
GFnhDfuf4wjiqSDLb,yes,yes,disagree,Yes it was fair I think we all had an equal chance,"Yes easy to use, but as not everyone was using it I gave up on it",No comments or problems,"Yes, though we gave up chatting"
x8arsoyjNtTuaMBqT,yes,yes,disagree,Yes,"Yes, it was very easy.",No,More than enough time. It could've been a minute shorter.
CmDp4MQc6SSbhG2a8,yes,NA,stronglyAgree,Yes,Yes,No,Yes
DzW5A3BKQz6yD5bAn,yes,yes,agree,Yes,Yes,Sometimes other players messed things up by not responding,Yes
wZm8oTPGLXW6t98qP,yes,yes,agree,yes,hmmm.. none,we should be able to know when our partners are typing,yes
ZxRrvBffD6DbPajeA,yes,yes,disagree,"Yes, I think it was a small enough amount of money that it added up but no-one got super frustrated. On the other hand, it would have been worth the time investment",Yes and no. It was very hard to describe certain flowers over text!,Not as such - certain candidates who leapt to pick first were frustrating.,"Yes, but sometimes I wished the rounds would move faster, or conversely that another participant would engage more. This game only works if we all co-operated and played it the same way (with high vs. low collaboration). I think some participants' end goal was simply to speed through it and get to the end of the survey fast, so that they could get back on Prolific and make more money. They didn't really care about making the maximum amount of bonus money on top of the base pay."
duYYpzofm6fYRjBsS,yes,yes,stronglyAgree,"No, I felt we deserved more as hardly ever picked the same one",yes,no,Yes more than enough
kqGapafwDf7kdgxEP,yes,yes,agree,yes,yes fairly good,no not really,yes definitely
LAYJsd5Lr7o9FAm4t,yes,yes,agree,"There was mostly co-operation with occasional confusion in our group, think it was mostly fair both in design and in how the group acted.","yes, it worked well and was clear.","Very interesting set up, liked the study.","Plenty, we always had time to spare."
Gf7jHjgxd3hSA8G6E,yes,no,agree,yes,yes,none,more than enough time
BCnyrHFnDe2BEr3dN,yes,yes,stronglyAgree,Yes I think so,very easy,no,Yes
aJe45NbcSwEyoPHiK,yes,yes,agree,"Certainly fair, thank you.",As easy as could be expected. Simple.,"In the beginning, when reading the instructions the page would refresh 2-3 times while reading. Didn't keep me from reading them but figured it was something to mention.","More than enough honestly, two minutes would be about right."
uMSWDuRBXmDSREcrn,yes,yes,stronglyAgree,Yes I think so.,Yes,NA,"Yes, we ended early every time."
EFYiQE7m9XjB6jRSx,yes,yes,stronglyAgree,Yes.,Very easy and intuitive to use.,No issues.,"Yes, I feel like we had more than enough time."
uFitMpNHuQNeyLReG,yes,yes,stronglyAgree,Relatively fair,Very easy,n/a,Yes
j9M9EbWB57iQvkBoK,yes,yes,stronglyDisagree,Yes,NA,No,Yes
3KGbH4dqGD4h24pRM,yes,yes,disagree,yes,yes,no,yes
sdTyAbNRDZTCLJSo8,yes,yes,stronglyAgree,"Maybe, yes",Yes,No,Yes
e9qSnb4XLQTbZgEkQ,yes,yes,stronglyAgree,Yep!,"Yes, very.",Nope,"Yes, more than enough."
PBJ9wLDgHHcrw4bQD,yes,yes,stronglyAgree,Yes because we strived to make it so,Yes,No the participants were amazing.,Yes
opJZBAegrZBTBgahz,yes,yes,stronglyAgree,"Yes I did. If someone took the lowest seed one round, we ensured they got the highest the next round, and so on. Altruism paid off.","yes, very.",No problems. I really enjoyed it and the fact that I played with 2 random altruists has restored my faith in humanity somewhat.,yes
