playerId,bot,readyAt,timeoutStartedAt,timeoutWaitCount,exitStepsDone,exitAt,exitStatus,exitReason,retiredAt,retiredReason,createdAt,nParticipants,imageCount,pictures,timeAmount,timeOut,knowledge,collision,selection,name,avatar,nameColor,bonus,flower_labels,flowers,otherflowers,otherflower_labels,p1,p2,rawScore,imageOrder,exitTimeoutId,exited
jsCw2CtJMsBX6FKLw,NA,NA,NA,NA,NA,2021-08-19T21:07:07Z,gameFull,NA,NA,NA,2021-08-19T20:28:40Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66f6dzzXYLRYow2Np,NA,NA,NA,NA,NA,2021-08-19T21:07:07Z,gameFull,NA,NA,NA,2021-08-19T20:28:40Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EbGfgP6khi5X743Qq,NA,NA,NA,NA,NA,2021-08-19T21:07:07Z,gameFull,NA,NA,NA,2021-08-19T20:28:40Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hQrSB6E5tGEprj6Dp,NA,NA,NA,NA,Sorry,2021-08-19T21:07:07Z,gameFull,NA,NA,NA,2021-08-19T20:28:40Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cdd9BvFhpAZ4veD9C,NA,NA,NA,NA,NA,2021-08-19T21:07:07Z,gameFull,NA,NA,NA,2021-08-19T20:28:40Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DWr5r2u3s87cFig4a,NA,NA,NA,NA,NA,2021-08-19T21:07:07Z,gameFull,NA,NA,NA,2021-08-19T20:28:40Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PuuW3knrTgF3E85Wf,NA,NA,NA,NA,NA,2021-08-19T21:07:07Z,gameFull,NA,NA,NA,2021-08-19T20:28:46Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cdDjG6pdhKLYaMDSi,NA,NA,NA,NA,NA,2021-08-19T21:07:07Z,gameFull,NA,NA,NA,2021-08-19T20:31:16Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
xZRBvhNS5q39NeEwm,NA,2021-08-19T20:36:10Z,2021-08-19T20:36:10Z,1,"instructions,owncolortest,othercolortest,ExitSurvey",2021-08-19T20:51:00Z,finished,NA,NA,NA,2021-08-19T20:31:23Z,3,6,different,3,0,everyplayersomeflower,clover,E,Laju,/avatars/jdenticon/Katherine,#3D45B7,2.175145,"{""red_1"":""flower with yellow middle"",""red_2"":""pink flowers "",""red_3"":""leaf"",""red_4"":""single flower with red circular middle"",""red_5"":""starfish shaped flower with lighter middle"",""red_6"":""frilly pink flower and dark background"",""red_7"":""cluster of five flowers with lighter middles"",""red_8"":""three red circular flowers with dark middles"",""red_9"":""flame"",""red_10"":""small red flowers"",""red_11"":""pink circular flower with yellow middle"",""red_12"":""red flowers with yellow tips ""}","{""label"":""red_9"",""location"":""/experiment/red_similar/image_06787.jpg""},{""label"":""red_3"",""location"":""/experiment/red_similar/image_01973.jpg""},{""label"":""red_10"",""location"":""/experiment/red_similar/image_06859.jpg""},{""label"":""red_2"",""location"":""/experiment/red_similar/image_01583.jpg""},{""label"":""red_7"",""location"":""/experiment/red_similar/image_04769.jpg""},{""label"":""red_12"",""location"":""/experiment/red_similar/image_07931.jpg""},{""label"":""red_5"",""location"":""/experiment/red_similar/image_02561.jpg""},{""label"":""red_1"",""location"":""/experiment/red_similar/image_00757.jpg""},{""label"":""red_4"",""location"":""/experiment/red_similar/image_02269.jpg""},{""label"":""red_6"",""location"":""/experiment/red_similar/image_03162.jpg""},{""label"":""red_11"",""location"":""/experiment/red_similar/image_07641.jpg""},{""label"":""red_8"",""location"":""/experiment/red_similar/image_06490.jpg""}","{""label"":""white_11"",""location"":""/experiment/white_similar/image_07463.jpg""},{""label"":""white_12"",""location"":""/experiment/white_similar/image_08131.jpg""},{""label"":""white_4"",""location"":""/experiment/white_similar/image_03710.jpg""},{""label"":""white_1"",""location"":""/experiment/white_similar/image_00006.jpg""}","{""white_11"":""white bell shaped flowers"",""white_12"":""four-leafed flower"",""white_4"":""white flowers with yellow middles"",""white_1"":""single white flower with purple middle""}",Repi,Minu,2,"red_9,red_10,red_3,red_7,red_1,red_8",NA,NA
jzZxEk7EPeQo5GJaB,NA,2021-08-19T20:37:42Z,2021-08-19T20:37:42Z,1,"instructions,owncolortest,othercolortest,ExitSurvey",2021-08-19T21:10:00Z,finished,NA,NA,NA,2021-08-19T20:31:23Z,3,6,different,3,0,everyplayersomeflower,clover,E,Laju,/avatars/jdenticon/Katherine,#3D45B7,3.0001999999999995,"{""purple_1"":""white at the bottom"",""purple_2"":""2 next to each other yellow middle"",""purple_3"":""fuzzy with straight up"",""purple_4"":""spiky circle"",""purple_5"":""3 in a row"",""purple_6"":""2 with one covered"",""purple_7"":""circle"",""purple_8"":""4 facing sideways"",""purple_9"":""single with spots "",""purple_10"":""column"",""purple_11"":""down facing with yellow spots"",""purple_12"":""one on the leaf""}","{""label"":""purple_5"",""location"":""/experiment/purple_similar/image_04335.jpg""},{""label"":""purple_7"",""location"":""/experiment/purple_similar/image_05355.jpg""},{""label"":""purple_11"",""location"":""/experiment/purple_similar/image_07517.jpg""},{""label"":""purple_6"",""location"":""/experiment/purple_similar/image_04700.jpg""},{""label"":""purple_9"",""location"":""/experiment/purple_similar/image_06714.jpg""},{""label"":""purple_2"",""location"":""/experiment/purple_similar/image_01664.jpg""},{""label"":""purple_1"",""location"":""/experiment/purple_similar/image_00450.jpg""},{""label"":""purple_4"",""location"":""/experiment/purple_similar/image_04133.jpg""},{""label"":""purple_12"",""location"":""/experiment/purple_similar/image_07752.jpg""},{""label"":""purple_8"",""location"":""/experiment/purple_similar/image_05639.jpg""},{""label"":""purple_3"",""location"":""/experiment/purple_similar/image_03085.jpg""},{""label"":""purple_10"",""location"":""/experiment/purple_similar/image_07320.jpg""}","{""label"":""yellow_4"",""location"":""/experiment/yellow_similar/image_03709.jpg""},{""label"":""yellow_2"",""location"":""/experiment/yellow_similar/image_01753.jpg""},{""label"":""yellow_10"",""location"":""/experiment/yellow_similar/image_06298.jpg""},{""label"":""yellow_11"",""location"":""/experiment/yellow_similar/image_06354.jpg""}","{""yellow_4"":""cluster with orange middles"",""yellow_2"":""single with red middle"",""yellow_10"":""circle "",""yellow_11"":""droopy""}",Repi,Minu,12,"purple_6,purple_2,purple_4,purple_1,purple_10,purple_3",NA,NA
