playerId,correctness,human,workedWell,fair,chatUseful,feedback,time
2hj9TEW7tcbgLckSj,yes,yes,neutral,yes,yes,my partner disconnected,yes
uCn7dXSZRaSK2bFJ4,yes,yes,stronglyDisagree,"Considering the game had to end early, yes, even if I get no bonus.","Yes, it was intuitive and had no surprises.",No other comments.,Yes.
AM5jKEDQqQ9px6G9r,yes,yes,stronglyDisagree,Yea,Yea,No,Yes
dpxZFAjR8hGR6AbZT,yes,yes,agree,Yes,Yes,No,Yes
RCqCyyonSzuAMu9dW,yes,yes,stronglyDisagree,My partner left before I could play,My partner left before I could play,My partner left before I could play,My partner left before I could play
Fc8hP9H3oDuNrh8Mb,yes,yes,stronglyDisagree,"Yes, but someone disconnected right at the start.",Did not get a chance to use,Someone disconnected at the start,3 minutes feels like plenty
EcXvtL3n4KfbtMvtE,yes,yes,stronglyAgree,Yes!,Yes!,Nope!,Yes!
4ipqkJvwzvaSrDWc6,yes,yes,neutral,One of the players disconnected at the first round - disappointed as this seemed like an interesting study,didn't get the chance to use it as another one of the players disconnected on the first round,NA,didn't have any time as another one of the players disconnected at the beginning of the first round
YMzGnv6mFMFbQhT8H,yes,yes,stronglyAgree,Yes,"Yes, I wish I had more time after the reveal to send a quick ""oops"" if i messed up",no,Yes
NpZd3qLBDeqRs73Mi,yes,no,agree,"hard to tell - the other two bonus's were higher and as soon as i picked one flower, it seem to match their choice more often than it should!",yeah - my typing is v slow,disappointed it finished when someone logged off - if that was really the case,"3 mins was long, but the time to react to other choices was short"
xZRBvhNS5q39NeEwm,yes,yes,agree,Yes,Yes,"No, it was fun","Yes, more than enough time"
tb8cYu5YkEY7rwNGt,yes,yes,stronglyAgree,yes,very easy!,none,yes
dtrXhLCRBm4QbQrGg,yes,yes,stronglyAgree,"Yes, we all communicated.",Yes,No,Yes
JFACpZugXjwGuwMpS,yes,yes,agree,Yes,Yes,"No, all good.","Yes, more than enough"
6bQmRukQXEvm6tMo5,NA,NA,NA,NA,NA,NA,NA
cgzEXWirZZiXNga2d,yes,no,neutral,Possibly so - not sure if you're giving the bonus as you cut me off and told me one of my partners pulled out early.,"Yes, but had to be v quick",No,Yes
xQRbdNPH67gZtjqTF,yes,yes,stronglyAgree,Yes - one of the best compensations i have had.,Yes really easy to use,nothing to add,Yes as one of the participants was answering instantly
53nGAi7E76hZ3FtdD,yes,yes,neutral,I feel that it was fair.,I didn't get to use it because a player disconnected.,No.,I am not sure because I didn't get to play the game.
THt9PTb6CwSBGoxn8,yes,yes,agree,Yes the pay was fair.,Very easy to use with no issues.,NA,More than enough time.
FsZvRwcd5hAPGZ55n,yes,yes,agree,Yes,Yes,No,Yes
mP5c5Q8kCCnJMuZqT,yes,yes,neutral,no i didnt get a chance to play the game it said a player disconnected,NA,i didnt get to play,NA
TNkBXoLbzhruBA3gS,yes,yes,stronglyAgree,"Yes, but I was frustrated to be disconnected.",Yes,I was disconnected because one of the other players disconnected which was frustrating.,Yes
Paof6KY5XWFpNuGwH,yes,yes,agree,Yes,Yes,No,Yes
EaTF2x6WGY73PQthf,yes,no,neutral,yes,yes,n/a,yes
zba9zoM7QszHCWYM2,yes,yes,stronglyAgree,yes,yes,none,yes
z3ecz5DfDoBJMMhag,yes,no,agree,Yes,Yes,I had a delay on the chat so couldn’t see the conversation when I typed - I ended up saying the same as someone else but I couldn’t tell until afterwards,Yes
xewAG3QpwG5CaF457,yes,yes,stronglyAgree,yes,yes,no,yes
GG9PGMS2QcLqvaiFz,yes,yes,agree,Yes but unfair lost the bonus because someone disconnected.,Yes.,No.,Definitely.
nPp32Zj2T2YTXassh,yes,yes,stronglyAgree,with the bonuses it was pretty decent? could be higher but on par with other studies on the platform. not a living wage but okay for clickwork with bouns,yep,no,yes
Fca4e2EKdFHWHNQh4,yes,yes,stronglyAgree,yes,yes,"none, excellent experience doing this study",yes
hGfRmwGvBGFWMgiaT,yes,yes,stronglyAgree,tot\lly fair for playi g a game,clear easy tgo read precise,no other issues at all,plenty of time
bTXd6LwgaNHkP66co,yes,yes,agree,Pay was fair but I felt like the bonus wasn't because I played the most selfless game but got the smallest bonus,yes,It was very frustrating for me because it felt like my counterparts only cared about getting the most expensive flower. I wish the profit from the flowers would be split in the end,yes
Y7pBdCPT2BT3bjwuZ,yes,no,stronglyDisagree,"No. This was a complete waste of my time. I didn't get the chance to play even one round, just got a message saying someone else had pulled out so I was being kicked out. Very rude.",Who knows? I wasn't given the opportunity to use it at all.,The instructions were a bit confusing but I studied them well and was looking forward to participating in the game. Then I was the denied the opportunity. If the objective of the study was to make me angry you succeeded. Otherwise you failed.,No - I think the one round I was allowed to start was abruptly terminated after about 10 seconds
ew6432RyxC9E4Geox,yes,yes,stronglyAgree,Yes! We all rotated out who chose the most expensive flower. It was a fun time although it became repetitive near the end.,"It was fairly simple to use, pretty standard of a chatbox.",I was sad because I really enjoyed the other players but did not give them my social media information for fear of compromising the study.,"Yes, I always felt like we were communicating at a steady pace and never ran out of time. The nicknames for the flowers made it much easier to figure out what was going on."
2mEeGgc4HAaRQR9fr,yes,yes,agree,yes,yes,no,no
juDZpR3nb24bZwoFv,yes,yes,disagree,Not sure,Not sure,It ended too quickly,No
QMkLYP2o4Hi9tyua9,yes,yes,agree,"I didn’t get to partake in the task, but I sure the pay was worth it!",I sure it would be easy to use.,No,I’m sure it gave enough time.
WEh4Fg82nJgoqvCHd,yes,yes,agree,NA,NA,NA,NA
XDSm6PYShe69gKqbC,no,NA,NA,NA,NA,NA,NA
xf83jcxjC63eXJ2HY,yes,yes,agree,Yes,Yes it was,No,Yes lots of time
CbCdGyWPXFnTHm2hh,NA,NA,neutral,NA,NA,"Unfortunately, I wasn't 1 of the first 60 people who finished the introduction, so I'm unable to comment on anything else here. Good luck with your future studies.",NA
jzZxEk7EPeQo5GJaB,yes,yes,stronglyAgree,Seems to be more than fair if the group members work together,"Yes, responsive & smooth",N/A\n\nBy far the most enjoyable study I've participated in to date.,Plenty with time to spare
mhN2ZTLrvko6tWuAs,yes,yes,neutral,Yes,Yes,The study was reloading by itself several times.,Yes
EEk6nTcyRgEdrHPD6,yes,yes,stronglyAgree,"Yes I think the pay was fair, and my partners and I tried to make sure we kept our totals fairly even.","Yes, very easy to use.",I did not notice any problems.,"Yes, we never ran out of time."
ZJFsyB2E2SGdQXyWj,yes,yes,stronglyAgree,yes,yes,no,yes
TK23qoZSFJs3GysWD,yes,yes,stronglyAgree,"Yes, I thought it was confusing as I was not paying attention to if it was similar from round to round but I was paying more attention to the bar.",Absolutely and necessary.,No problems.  I feel the level of difficulty played for the same color of flowers used made it more interesting to be able to describe smaller details.,I felt it got easier to beat the clock after we learned how to describe the flowers to one another
d337LduZWGNKuT3SA,yes,yes,neutral,Yes,Did not use it,No,Yes
